"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-03-09","JO","Jour","Local","Kinshasa","Kasai","Kinshasa","512"
"2020-03-09","JO","Nuit","Local","Kinshasa","Kasai","Kinshasa","524"
"2020-03-09","JO","Jour","Local","Kasai","Kasai","Kinshasa","2833"
"2020-03-09","JO","Nuit","Local","Kasai","Kasai","Kinshasa","2308"
"2020-03-09","JO","Jour","Local","Lomami","Lomami","Kinshasa","121"
"2020-03-09","JO","Nuit","Local","Lomami","Lomami","Kinshasa","121"
"2020-03-09","JO","Jour","Local","Kasai-Oriental","Lomami","Kinshasa","721"
"2020-03-09","JO","Nuit","Local","Kasai-Oriental","Lomami","Kinshasa","721"
"2020-03-09","JO","Jour","Local","Kinshasa","Kasai-Oriental","Kinshasa","184"
"2020-03-09","JO","Nuit","Local","Kinshasa","Kasai-Oriental","Kinshasa","147"
"2020-03-09","JO","Jour","Local","Kasai-Oriental","Kasai-Oriental","Kinshasa","1243"
"2020-03-09","JO","Nuit","Local","Kasai-Oriental","Kasai-Oriental","Kinshasa","1062"
"2020-03-09","JO","Jour","Local","Hors_Zone","Kwilu","Kinshasa","1493"
"2020-03-09","JO","Nuit","Local","Hors_Zone","Kwilu","Kinshasa","24"
"2020-03-09","JO","Jour","Local","Kinshasa","Kwilu","Kinshasa","1031"
"2020-03-09","JO","Nuit","Local","Kinshasa","Kwilu","Kinshasa","982"
"2020-03-09","JO","Jour","Local","Kwilu","Kwilu","Kinshasa","9815"
"2020-03-09","JO","Nuit","Local","Kwilu","Kwilu","Kinshasa","8870"
"2020-03-09","JO","Jour","Local","Hors_Zone","Mai-Ndombe","Kinshasa","721"
"2020-03-09","JO","Nuit","Local","Hors_Zone","Mai-Ndombe","Kinshasa","721"
"2020-03-09","JO","Jour","Local","Kinshasa","Mai-Ndombe","Kinshasa","2164"
"2020-03-09","JO","Nuit","Local","Kinshasa","Mai-Ndombe","Kinshasa","721"
"2020-03-09","JO","Jour","Local","Mai-Ndombe","Mai-Ndombe","Kinshasa","2973"
"2020-03-09","JO","Nuit","Local","Mai-Ndombe","Mai-Ndombe","Kinshasa","1480"
"2020-03-09","JO","Jour","Local","Kinshasa","Maniema","Kinshasa","24"
"2020-03-09","JO","Jour","Local","Maniema","Maniema","Kinshasa","701"
"2020-03-09","JO","Nuit","Local","Maniema","Maniema","Kinshasa","37"
"2020-03-09","JO","Jour","Local","Hors_Zone","Kwango","Kinshasa","746"
"2020-03-09","JO","Nuit","Local","Hors_Zone","Kwango","Kinshasa","746"
"2020-03-09","JO","Jour","Local","Kwango","Kwango","Kinshasa","783"
"2020-03-09","JO","Nuit","Local","Kwango","Kwango","Kinshasa","758"
"2020-03-09","JO","Jour","Local","Kinshasa","Sud-Ubangi","Kinshasa","478"
"2020-03-09","JO","Nuit","Local","Kinshasa","Sud-Ubangi","Kinshasa","478"
"2020-03-09","JO","Jour","Local","Sud-Ubangi","Sud-Ubangi","Kinshasa","918"
"2020-03-09","JO","Nuit","Local","Sud-Ubangi","Sud-Ubangi","Kinshasa","465"
"2020-03-09","JO","Jour","Local","Hors_Zone","Kasai-Central","Kinshasa","37"
"2020-03-09","JO","Nuit","Local","Hors_Zone","Kasai-Central","Kinshasa","37"
"2020-03-09","JO","Jour","Local","Kasai-Central","Kasai-Central","Kinshasa","1850"
"2020-03-09","JO","Nuit","Local","Kasai-Central","Kasai-Central","Kinshasa","1771"
"2020-03-09","JO","Jour","Local","Hors_Zone","Equateur","Kinshasa","478"
"2020-03-09","JO","Nuit","Local","Hors_Zone","Equateur","Kinshasa","465"
"2020-03-09","JO","Jour","Local","Kinshasa","Equateur","Kinshasa","540"
"2020-03-09","JO","Nuit","Local","Kinshasa","Equateur","Kinshasa","527"
"2020-03-09","JO","Jour","Local","Equateur","Equateur","Kinshasa","5649"
"2020-03-09","JO","Nuit","Local","Equateur","Equateur","Kinshasa","4277"
"2020-03-09","JO","Jour","Local","Haut-Lomami","Haut-Lomami","Kinshasa","24"
"2020-03-09","JO","Nuit","Local","Haut-Lomami","Haut-Lomami","Kinshasa","24"
"2020-03-09","JO","Jour","Local","Hors_Zone","Nord-Kivu","Kinshasa","58"
"2020-03-09","JO","Nuit","Local","Hors_Zone","Nord-Kivu","Kinshasa","46"
