"﻿Date","Day_type","PresenceType","Type","Activity_Zone","Home_Zone","Zone","Volume"
"2020-02-04","JO","Nuit","Local","Kokolo","Kokolo","Sona-Bata","35"
"2020-02-04","JO","Jour","Local","Kimpese","Kimpese","Sona-Bata","139"
"2020-02-04","JO","Nuit","Local","Matadi","Nsona-Mpangu","Sona-Bata","24"
"2020-02-04","JO","Jour","Local","Nsona-Mpangu","Nsona-Mpangu","Sona-Bata","51"
"2020-02-04","JO","Nuit","Local","Nsona-Mpangu","Nsona-Mpangu","Sona-Bata","36"
"2020-02-04","JO","Jour","Local","Hors_Zone","Mbanza-Ngungu","Sona-Bata","261"
"2020-02-04","JO","Nuit","Local","Hors_Zone","Mbanza-Ngungu","Sona-Bata","186"
"2020-02-04","JO","Jour","Local","Sona-Bata","Mbanza-Ngungu","Sona-Bata","465"
"2020-02-04","JO","Nuit","Local","Sona-Bata","Mbanza-Ngungu","Sona-Bata","124"
"2020-02-04","JO","Jour","Local","Mbanza-Ngungu","Mbanza-Ngungu","Sona-Bata","687"
"2020-02-04","JO","Nuit","Local","Mbanza-Ngungu","Mbanza-Ngungu","Sona-Bata","498"
"2020-02-04","JO","Jour","Local","Hors_Zone","Masa","Sona-Bata","148"
"2020-02-04","JO","Nuit","Local","Hors_Zone","Masa","Sona-Bata","74"
"2020-02-04","JO","Nuit","Local","Mont Ngafula I","Masa","Sona-Bata","48"
"2020-02-04","JO","Jour","Local","Sona-Bata","Masa","Sona-Bata","99"
"2020-02-04","JO","Nuit","Local","Sona-Bata","Masa","Sona-Bata","24"
"2020-02-04","JO","Jour","Local","Masa","Masa","Sona-Bata","756"
"2020-02-04","JO","Nuit","Local","Masa","Masa","Sona-Bata","345"
"2020-02-04","JO","Jour","Local","Hors_Zone","Kisantu","Sona-Bata","236"
"2020-02-04","JO","Nuit","Local","Hors_Zone","Kisantu","Sona-Bata","99"
"2020-02-04","JO","Jour","Local","Boko-Kivulu","Kisantu","Sona-Bata","24"
"2020-02-04","JO","Jour","Local","Sona-Bata","Kisantu","Sona-Bata","173"
"2020-02-04","JO","Nuit","Local","Sona-Bata","Kisantu","Sona-Bata","174"
"2020-02-04","JO","Jour","Local","Kisantu","Kisantu","Sona-Bata","448"
"2020-02-04","JO","Nuit","Local","Kisantu","Kisantu","Sona-Bata","324"
"2020-02-04","JO","Jour","Local","Hors_Zone","Kingabwa","Sona-Bata","23"
"2020-02-04","JO","Nuit","Local","Hors_Zone","Kingabwa","Sona-Bata","35"
"2020-02-04","JO","Jour","Local","Kingabwa","Kingabwa","Sona-Bata","189"
"2020-02-04","JO","Nuit","Local","Kingabwa","Kingabwa","Sona-Bata","134"
"2020-02-04","JO","Nuit","Local","Gombe","Kingabwa","Sona-Bata","23"
"2020-02-04","JO","Jour","Local","Hors_Zone","Masina II","Sona-Bata","70"
"2020-02-04","JO","Nuit","Local","Hors_Zone","Masina II","Sona-Bata","59"
"2020-02-04","JO","Jour","Local","Masina II","Masina II","Sona-Bata","967"
"2020-02-04","JO","Nuit","Local","Masina II","Masina II","Sona-Bata","321"
"2020-02-04","JO","Jour","Local","Hors_Zone","Hors_Zone","Nsele","181359"
"2020-02-04","JO","Nuit","Local","Hors_Zone","Hors_Zone","Nsele","86365"
"2020-02-04","JO","Jour","Local","Kamonia","Hors_Zone","Nsele","36"
"2020-02-04","JO","Nuit","Local","Kamonia","Hors_Zone","Nsele","36"
"2020-02-04","JO","Jour","Local","Boma","Hors_Zone","Nsele","51"
"2020-02-04","JO","Nuit","Local","Boko-Kivulu","Hors_Zone","Nsele","110"
"2020-02-04","JO","Jour","Local","Kikwit-Sud","Hors_Zone","Nsele","23"
"2020-02-04","JO","Jour","Local","Matadi","Hors_Zone","Nsele","88"
"2020-02-04","JO","Nuit","Local","Matadi","Hors_Zone","Nsele","76"
"2020-02-04","JO","Jour","Local","Ndjili","Hors_Zone","Nsele","1230"
"2020-02-04","JO","Nuit","Local","Ndjili","Hors_Zone","Nsele","461"
"2020-02-04","JO","Jour","Local","Mont Ngafula I","Hors_Zone","Nsele","364"
"2020-02-04","JO","Nuit","Local","Mont Ngafula I","Hors_Zone","Nsele","189"
"2020-02-04","JO","Jour","Local","Kikimi","Hors_Zone","Nsele","1936"
"2020-02-04","JO","Nuit","Local","Kikimi","Hors_Zone","Nsele","626"
"2020-02-04","JO","Jour","Local","Lemba","Hors_Zone","Nsele","733"
"2020-02-04","JO","Nuit","Local","Lemba","Hors_Zone","Nsele","390"
"2020-02-04","JO","Jour","Local","Matete","Hors_Zone","Nsele","308"
"2020-02-04","JO","Nuit","Local","Matete","Hors_Zone","Nsele","212"
"2020-02-04","JO","Jour","Local","Kisenso","Hors_Zone","Nsele","283"
"2020-02-04","JO","Nuit","Local","Kisenso","Hors_Zone","Nsele","130"
"2020-02-04","JO","Jour","Local","Police","Hors_Zone","Nsele","118"
"2020-02-04","JO","Nuit","Local","Police","Hors_Zone","Nsele","71"
"2020-02-04","JO","Jour","Local","Barumbu","Hors_Zone","Nsele","2203"
"2020-02-04","JO","Nuit","Local","Barumbu","Hors_Zone","Nsele","1527"
"2020-02-04","JO","Jour","Local","Kinshasa","Hors_Zone","Nsele","520"
"2020-02-04","JO","Nuit","Local","Kinshasa","Hors_Zone","Nsele","342"
"2020-02-04","JO","Jour","Local","Limete","Hors_Zone","Nsele","965"
"2020-02-04","JO","Nuit","Local","Limete","Hors_Zone","Nsele","577"
"2020-02-04","JO","Jour","Local","Kalamu II","Hors_Zone","Nsele","212"
"2020-02-04","JO","Nuit","Local","Kalamu II","Hors_Zone","Nsele","236"
"2020-02-04","JO","Jour","Local","Kalamu I","Hors_Zone","Nsele","224"
"2020-02-04","JO","Nuit","Local","Kalamu I","Hors_Zone","Nsele","224"
"2020-02-04","JO","Jour","Local","Bumbu","Hors_Zone","Nsele","130"
"2020-02-04","JO","Nuit","Local","Bumbu","Hors_Zone","Nsele","189"
"2020-02-04","JO","Jour","Local","Makala","Hors_Zone","Nsele","141"
"2020-02-04","JO","Nuit","Local","Makala","Hors_Zone","Nsele","94"
"2020-02-04","JO","Jour","Local","Selembao","Hors_Zone","Nsele","1018"
